Beneficiario,RNP,Localidad,Municipio,Estado,Aprobación-Conapesca,Aprobación-Gob.Edo.
PESCADORES Y BUZOS DE CAMALU,0203014428,EJIDO RUBEN JARAMILLO,ENSENADA,BC,"$82,797.00","$49,678.00"
PESCADORES Y BUZOS DE CAMALU,0203014428,EJIDO RUBEN JARAMILLO,ENSENADA,BC,"$82,797.00","$49,678.00"
PESCADORES Y BUZOS DE CAMALU,0203014428,EJIDO RUBEN JARAMILLO,ENSENADA,BC,"$82,797.00","$49,678.00"
PESCADORES Y BUZOS DE CAMALU,0203014428,EJIDO RUBEN JARAMILLO,ENSENADA,BC,"$82,797.00","$49,678.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$82,797.00","$49,678.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$78,508.00","$47,104.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$78,508.00","$47,104.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$82,797.00","$49,678.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$78,508.00","$47,104.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$82,797.00","$49,678.00"
ENSENADA,0203000302,"ROSARIO DE ARRIBA, EL", ENSENADA,BC,"$78,508.00","$47,104.00"
,020300139,ENSENADA,ENSENADA,BC,"$78,508.00","$47,104.00"
"PESCADORES Y BUZOS RIBEREÑOS DE MANCHURIA, S.A. DE C.V.",0203008990,"SAUZAL, EL",ENSENADA,BC,"$79,495.00","$47,697.00"
ROBERTO JUAN CAMACHO TAPIA,0203014691,ENSENADA,ENSENADA,BC,"$58,213.00","$34,927.00"
"EL DESIERTO DE MATOMI, SPR DE RL",0207001660,SAN FELIPE,MEXICALI,BC,"$82,762.00","$49,657.00"
"EL DESIERTO DE MATOMI, SPR DE RL",0207001660,SAN FELIPE,MEXICALI,BC,"$90,000.00","$61,314.00"
"EL DESIERTO DE MATOMI, SPR DE RL",0207001660,MEXICALI,MEXICALI,BC,"$90,000.00","$69,258.00"
"EL DESIERTO DE MATOMI, SPR DE RL",0207001660,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
"EL DESIERTO DE MATOMI, SPR DE RL",0207001660,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
ARTEMIO MANCILLA ALCOCER,0203015185,BAHIA DE LOS ANGELES,ENSENADA,BC,"$82,140.00","$49,284.00"
MINERVA PEREZ CASTRO,0203126727,ENSENADA,ENSENADA,BC,"$82,762.00","$49,657.00"
SOCIEDAD DE PESCADORES DE PANGAS RIBEREÑAS RUBEN´S SPR DE RL,0207001629,SAN FELIPE,MEXICALI,BC,"$90,000.00","$62,358.00"
SOCIEDAD DE PESCADORES DE PANGAS RIBEREÑAS RUBEN´S SPR DE RL,0209001629,SAN FELIPE,MEXICALI,BC,"$90,000.00","$62,358.00"
ALEJANDRO JOSE GOUGLAS HUIZAR,0207001967,SAN FELIPE,MEXICALI,BC,"$90,000.00","$69,258.00"
ALBERTO TORRES GARCIA,0203008107,ENSENADA,ENSENADA,BC,"$90,000.00","$62,358.00"
SOCIEDAD DE PESCADORES RIBEREÑOS DE SAN FELIPE SPR DE RL,0207001611,SAN FELIPE,MEXICALI,BC,"$82,797.00","$49,678.00"
BUZOS DE BAHIA,0203127048,ENSENADA,ENSENADA,BC,"$90,000.00","$54,303.00"
ÁNGELES DEL MAR SC DE RL,0207001892,SAN FELIPE,MEXICALI,BC,"$82,797.00","$49,678.00"
ÁNGELES DEL MAR,0207001892,SAN FELIPE,MEXICALI,BC,"$88,000.00","$52,800.00"
ALEJANDRO FABIAN GALLARDO MONTIEL,0201277210,ENSENADA,ENSENADA,BC,"$90,000.00","$62,358.00"
RAFAEL ORTEGA CRUZ,0203000351,SANTA ROSALIITA,ENSENADA,BC,"$56,899.00","$34,139.00"
RAFAEL ORTEGA CRUZ,0203000351,SANTA ROSALIITA,ENSENADA,BC,"$56,899.00","$34,139.00"
SOCIEDAD DE PESCADORES RIBEREÑOS DE SAN FELIPE SPR DE RL,0207001611,SAN FELIPE,MEXICALI,BC,"$82,797.00","$49,678.00"
JOSE ANTONIO ALVAREZ NAVARRO,0203008941,ENSENADA,ENSENADA,BC,"$67,000.00","$40,200.00"
MARCOS ALVAREZ NAVARRO,020300296,ENSENADA,ENSENADA,BC,"$67,000.00","$40,200.00"
"GRUPO DE PESCADORES RIBEREÑOS, SPR DE RL",0203009261,ENSENADA,ENSENADA,BC,"$79,495.00","$47,697.00"
RIBEREс DE ALTAMAR PESCADORES UNIDOS DE PUERTO SA,0311000681,PUERTO SAN CARLOS,COMONDÚ,BCS,"$79,495.00","$47,697.00"
RIBEREс DE ALTAMAR PESCADORES UNIDOS DE PUERTO SA,0311000681,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
MARTIN GUADALUPE LEON ALVAREZ,0305007338,"CUEVA, LA (LAS CUEVAS)",PAZ. LA,BCS,"$76,404.00","$45,842.00"
LOS GUILLEN,0305007148,PUERTO CHALE,PAZ. LA,BCS,"$90,000.00","$54,000.00"
LA PURISIMA,0301000105,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$90,000.00","$54,000.00"
LA PURISIMA,0301000105,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$82,797.00","$49,678.00"
LA PURISIMA,0301000105,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$82,797.00","$49,678.00"
LA PURISIMA,0301000105,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$90,000.00","$54,000.00"
LA PURISIMA,0301000105,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$90,000.00","$54,000.00"
ESTERO EL CARDON,0312002561,"CARDON, EL",MULEGÉ,BCS,"$90,000.00","$54,000.00"
BAHIA SAN JUANICO SURF,0303001564,SAN JUANICO,COMONDÚ,BCS,"$90,000.00","$54,000.00"
BAHIA SAN JUANICO SURF,0303001564,SAN JUANICO,COMONDÚ,BCS,"$90,000.00","$54,000.00"
LEYES DE REFORMA,0313000036,BAHIA ASUNCION,MULEGÉ,BCS,"$90,000.00","$54,000.00"
LEYES DE REFORMA,0313000036,BAHIA ASUNCION,MULEGÉ,BCS,"$90,000.00","$54,000.00"
LEYES DE REFORMA,0313000036,BAHIA ASUNCION,MULEGÉ,BCS,"$90,000.00","$54,000.00"
LEYES DE REFORMA,0313000036,BAHIA ASUNCION,MULEGÉ,BCS,"$90,000.00","$54,000.00"
JESUS ROMERO COLLINS,0305007402,SAN EVARISTO,PAZ. LA,BCS,"$57,683.00","$34,610.00"
EMANCIPACIӎ,0301000097,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$90,000.00","$54,000.00"
EMANCIPACIӎ,0301000097,BAHIA TORTUGAS (SAN BARTOLOME),MULEGÉ,BCS,"$90,000.00","$54,000.00"
PUNTA ABREOJOS,0310000013,PUNTA ABREOJOS,MULEGÉ,BCS,"$90,000.00","$54,000.00"
PUNTA ABREOJOS,0310000013,PUNTA ABREOJOS,MULEGÉ,BCS,"$90,000.00","$54,000.00"
PUNTA ABREOJOS,0310000013,PUNTA ABREOJOS,MULEGÉ,BCS,"$90,000.00","$54,000.00"
PUNTA ABREOJOS,0310000013,PUNTA ABREOJOS,MULEGÉ,BCS,"$90,000.00","$54,000.00"
PUNTA ABREOJOS,0310000013,PUNTA ABREOJOS,MULEGÉ,BCS,"$90,000.00","$54,000.00"
ISMAEL LEON ENCINAS,0305007361,PUNTA ALTA,PAZ. LA,BCS,"$76,404.00","$45,842.00"
JUAN CARLOS LEON TALAMANTES,0305007437,SAN EVARISTO,PAZ. LA,BCS,"$57,684.00","$34,610.00"
LEONEL OCTAVIO ROBLESAGUILAR,0305004765,"PAZ, LA",PAZ. LA,BCS,"$90,000.00","$54,000.00"
BAHIA DE SAN JUANICO,0305001358,"PAZ, LA",PAZ. LA,BCS,"$90,000.00","$54,000.00"
ZOZIMO ROMERO COLLINS,0305007445,ENSENADA DE CORTEZ (LOS BURROS),PAZ. LA,BCS,"$76,404.00","$45,842.00"
ESTERO EL ALHUATE,0311000533,PUERTO SAN CARLOS,COMONDÚ,BCS,"$90,000.00","$54,000.00"
ESTERO EL ALHUATE,0311000533,PUERTO SAN CARLOS,COMONDÚ,BCS,"$90,000.00","$54,000.00"
ESTERO DE LOPEZ MATEOS,0308000512,PUERTO ADOLFO LOPEZ MATEOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
PATOS BUZOS,0311001587,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
DINASTIA PESQUERA,0311000582,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
ALCATRACES BLANCOS,0311001648,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
PESCADORES DE ALTAMAR Y ACUICOLA BAHIA DE SANTA MA,0311000566,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
BOCA DE LA LIBERTAD,0311001218,PUERTO SAN CARLOS,COMONDÚ,BCS,"$90,000.00","$54,000.00"
JOSE SANTOS RIVERA INZUNZA,0311001903,PUERTO SAN CARLOS,COMONDÚ,BCS,"$57,684.00","$34,610.00"
LA VOCA DE LA SOLEDAD,0308000546,PUERTO ADOLFO LOPEZ MATEOS,COMONDÚ,BCS,"$90,000.00","$54,000.00"
LA VOCA DE LA SOLEDAD,0308000546,PUERTO ADOLFO LOPEZ MATEOS,COMONDÚ,BCS,"$90,000.00","$54,000.00"
ANGEL AGUIRRE ROSALES,0311001523,PUERTO SAN CARLOS,COMONDÚ,BCS,"$82,797.00","$49,678.00"
MANUEL FLORES GUERRERO,0304000953,GUERRERO NEGRO,MULEGÉ,BCS,"$82,797.00","$49,678.00"
JOSE MIGUEL MONTOYA ANGULO,0304000987,GUERRERO NEGRO,MULEGÉ,BCS,"$74,467.00","$44,680.00"
JOSE ANGEL CARBAJAL KUC,0403002488,SEYBAPLAYA,CHAMPOTÓN,Camp,"$62,427.00","$24,970.00"
LETICIA DEL CARMEN GOMEZ YERBES,0408000925,ISLA ARENA (PUNTA ARENA),CALKINÍ,Camp,"$80,550.00","$32,220.00"
MANUEL DE ATOCHA RODRIGUEZ GONGORA,0401004577,CAMPECHE,CAMPECHE,Camp,"$78,619.00","$31,447.00"
ALBERTO ANTONIO MIER CAMARA,0401002266,CAMPECHE,CAMPECHE,Camp,"$79,641.00","$29,467.00"
CARLOS MANUEL REYNA RIVAS,0403002553,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
KANKUN,0401004890,CAMPECHE,CAMPECHE,Camp,"$55,715.00","$22,286.00"
EL GATO MACHO,0405000704,ISLA AGUADA,CARMEN,Camp,"$90,000.00","$35,187.00"
EDGAR ORLANDO CANUL MISS,0403002256,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,834.00"
HIPOLITO DE LOS ANGELES YE CHAN,0401006606,CAMPECHE,CAMPECHE,Camp,"$62,427.00","$24,970.00"
YUCUMBALAM,0401004056,CAMPECHE,CAMPECHE,Camp,"$63,985.00","$25,594.00"
PUNTA IXPICOP,0401003843,CAMPECHE,CAMPECHE,Camp,"$83,969.00","$30,900.00"
MANUEL ANTONIO RIVAS UC,0403002876,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$34,562.00"
LORENA DEL CARMEN PEREZ GOMEZ,0401006564,CAMPECHE,CAMPECHE,Camp,"$63,985.00","$25,594.00"
JUAN MANUEL ORTEGA GUTIERREZ,0403001878,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
MANUEL A. CHAN CAJUN,0403002520,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
EFRAIN KUC HUCHIN,0403002348,SEYBAPLAYA,CHAMPOTÓN,Camp,"$63,271.00","$25,308.00"
RAUL ANTONIO CANUL JIMENEZ,0403002280,SEYBAPLAYA,CHAMPOTÓN,Camp,"$84,500.00","$31,096.00"
LUIS MANUEL MUT REBOLLEDO,0403002272,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
LA HUAYITA,0403001753,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
TIBURONEROS DEL SURESTE,0402005581,"CARMEN, EL",CARMEN,Camp,"$63,985.00","$25,594.00"
EL PORVENIR DE ISLA AGUADA,0405000787,ISLA AGUADA,CARMEN,Camp,"$82,044.00","$32,817.00"
JESUS MANUEL REYES VALENCIA,0401006788,CAMPECHE,CAMPECHE,Camp,"$78,619.00","$31,447.00"
PESCADORES SABANCUYEROS,0407000447,SABANCUY,CARMEN,Camp,"$90,000.00","$34,562.00"
LUIS FELIPE DZUC UC,0403002447,SEYBAPLAYA,CHAMPOTÓN,Camp,"$80,550.00","$32,220.00"
NUEVA CREACION DE BIENES Y SERVICIOS,0405001124,ISLA AGUADA,CARMEN,Camp,"$90,000.00","$48,591.00"
JOSE LUIS SARRICOLEA ROSADO,0404000564,CHAMPOTON,CHAMPOTÓN,Camp,"$90,000.00","$46,122.00"
LA MANTILLA,0404000721,CHAMPOTON,CHAMPOTÓN,Camp,"$83,969.00","$30,900.00"
ROMAN JESUS ESPADAS CATZIN,0401006853,CAMPECHE,CAMPECHE,Camp,"$62,427.00","$24,970.00"
EL MALECON,0401006267,CAMPECHE,CAMPECHE,Camp,"$90,000.00","$34,097.00"
ISMAEL DELGADO RIVERO,0404001513,CHAMPOTON,CHAMPOTÓN,Camp,"$63,271.00","$25,308.00"
IXOYE MARINOS,0408000677,ISLA ARENA (PUNTA ARENA),CALKINÍ,Camp,"$80,550.00","$32,220.00"
PUNTA MAXTUN SC DE RL DE CV,0401002308,CAMPECHE,CAMPECHE,Camp,"$83,969.00","$30,900.00"
PUNTA ISLA PIEDRA,0401005020,CAMPECHE,CAMPECHE,Camp,"$90,000.00","$34,097.00"
LOS COCOS,0401006408,CAMPECHE,CAMPECHE,Camp,"$90,000.00","$34,097.00"
CHARALEROS DE SEYBAPLAYA,0403000789,SEYBAPLAYA,CHAMPOTÓN,Camp,"$82,044.00","$32,817.00"
RAMON MATEO QUEB ALMEYDA,0403001993,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
GILBERTO JESUS SANTIBON HERRERA,0403002603,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$34,562.00"
LUIS ALONZO CHAN NOH,0403002884,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
TOMAS MENDEZ CAAMAL,0403002561,SEYBAPLAYA,CHAMPOTÓN,Camp,"$63,271.00","$25,308.00"
AH-KIM-PECH,0401000948,CAMPECHE,CAMPECHE,Camp,"$62,427.00","$24,970.00"
QUELMAN EK DE LA CRUZ,0407002013,SABANCUY,CARMEN,Camp,"$90,000.00","$34,562.00"
JOSE GUADALUPE HAU CABALLERO,0401006440,CAMPECHE,CAMPECHE,Camp,"$63,271.00","$25,308.00"
WEYLER CUAUHTEMOC GOMEZ PEREZ,0408001261,ISLA ARENA (PUNTA ARENA),CALKINÍ,Camp,"$82,044.00","$32,817.00"
HUGO FERNELIS NARVAEZ CRUZ,0408001337,ISLA ARENA (PUNTA ARENA),CALKINÍ,Camp,"$82,044.00","$32,817.00"
RIO PIRICOTA,0401005327,CAMPECHE,CAMPECHE,Camp,"$78,619.00","$31,447.00"
EL ARSENAL DE LERMA,0401003835,CAMPECHE,CAMPECHE,Camp,"$63,985.00","$25,594.00"
PUNTA YAXECUL,0401004775,CAMPECHE,CAMPECHE,Camp,"$78,619.00","$31,447.00"
EL FARO DE LA CALETA,0402004733,CIUDAD DEL CARMEN,CARMEN,Camp,"$72,793.00","$29,117.00"
VILLA DEL MAR,0402004972,CIUDAD DEL CARMEN,CARMEN,Camp,"$60,000.00","$24,000.00"
EL CALAMAR DEL TROPICO,0402004428,CIUDAD DEL CARMEN,CARMEN,Camp,"$55,000.00","$22,000.00"
LUIS HUMBERTO RIVAS RIVAS,0403003114,SEYBAPLAYA,CHAMPOTÓN,Camp,"$63,271.00","$25,308.00"
MANUEL COBOS RIVERO,0404001109,CHAMPOTON,CHAMPOTÓN,Camp,"$83,969.00","$30,900.00"
PERMISIONARIO,0450011400,ISLA AGUADA,CARMEN,Camp,"$82,050.00","$32,820.00"
PERMISIONARIO,0405001157,ISLA AGUADA,CARMEN,Camp,"$90,000.00","$35,187.00"
LA CHISPA ROJA,0405000910,ISLA AGUADA,CARMEN,Camp,"$62,427.00","$24,970.00"
RIO CARIBE,0405000795,ISLA AGUADA,CARMEN,Camp,"$90,000.00","$48,591.00"
FELIX DE LA CRUZ OSORNO,0404000515,CHAMPOTON,CHAMPOTÓN,Camp,"$79,641.00","$29,467.00"
JUAN JOSE TAMAY XOOL,0403002892,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$34,562.00"
MARTIN CANDELARIO GARCIA ESTRELLA,0401006358,CAMPECHE,CAMPECHE,Camp,"$63,985.00","$25,594.00"
ANDRES CARBAJAL KUK,0403002371,SEYBAPLAYA,CHAMPOTÓN,Camp,"$62,427.00","$24,970.00"
JESUS NAVARRO BAÑOS,0403001225,SEYBAPLAYA,CHAMPOTÓN,Camp,"$90,000.00","$34,562.00"
JUAN ANTONIO DZUL BRITO,0404002883,CHAMPOTON,CHAMPOTÓN,Camp,"$90,000.00","$35,187.00"
PALANDREROS DE CHAMPOTON,0404000697,CHAMPOTON,CHAMPOTÓN,Camp,"$83,969.00","$30,900.00"
OCTOPUS MAYA,0404000648,CHAMPOTON,CHAMPOTÓN,Camp,"$83,969.00","$30,900.00"
RIBEREÑOS DE LA COLONIA,0410000475,EMILIANO ZAPATA,CARMEN,Camp,"$82,044.00","$32,817.00"
LA NUEVA ESPERANZA,0402006480,CIUDAD DEL CARMEN,CARMEN,Camp,"$80,550.00","$32,220.00"
ALFREDO HERNANDEZ NAAL,0405001165,ISLA AGUADA,CARMEN,Camp,"$82,050.00","$32,820.00"
SALOMON ORTEGA RAMIREZ,0403002983,SEYBAPLAYA,CHAMPOTÓN,Camp,"$83,969.00","$30,900.00"
LOBOS DEL MAR,0402005474,CIUDAD DEL CARMEN,CARMEN,Camp,"$56,300.00","$22,520.00"
MARTIN PESCADOR,0402005169,CIUDAD DEL CARMEN,CARMEN,Camp,"$74,300.00","$29,720.00"
BELLA PALIZADA,0402004725,CIUDAD DEL CARMEN,CARMEN,Camp,"$74,300.00","$29,720.00"
PESCADORES DE ARROYO GRANDE,0402005078,CIUDAD DEL CARMEN,CARMEN,Camp,"$74,300.00","$29,720.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,JUAREZ,JUÁREZ,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,MEXIQUITO,PROGRESO,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$29,659.00","$14,829.00"
CA?ON DE LA ZORRA,0500000013,CIUDAD ACU?,ACUÑA,Coah,"$62,426.00","$31,213.00"
CA?ON DE LA ZORRA,0500000013,CIUDAD ACU?,ACUÑA,Coah,"$63,987.00","$31,993.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$41,636.00","$20,818.00"
PESCADORES VENUSTIANO CARRANZA,0502000029,DON MARTIN,JUÁREZ,Coah,"$36,218.00","$18,109.00"
GUILLERMO MICHEL AMEZCUA,0601002835,MANZANILLO,MANZANILLO,Col,"$90,000.00","$57,060.00"
GABRIEL LEAL SANTANA,0601003122,MANZANILLO,MANZANILLO,Col,"$40,718.00","$48,482.00"
REMIGIO ARVIZU RAMIREZ,0601002975,MANZANILLO,MANZANILLO,Col,"$90,000.00","$80,290.00"
NEVADO DE COLIMA,0601002462,MANZANILLO,MANZANILLO,Col,"$90,000.00","$57,060.00"
NEVADO DE COLIMA,0601002462,MANZANILLO,MANZANILLO,Col,"$90,000.00","$80,290.00"
NEVADO DE COLIMA,0601002462,MANZANILLO,MANZANILLO,Col,"$90,000.00","$80,290.00"
JORGE ALBERTO CRUZ ARAIZA,0601002991,MANZANILLO,MANZANILLO,Col,"$90,000.00","$72,684.00"
ERNESTO VALDEZ GALLARDO,0602000838,COLIMA,COLIMA,Col,"$90,000.00","$57,060.00"
GRISELDA ALVAREZ PONCE DE LEON,0601001357,MANZANILLO,MANZANILLO,Col,"$90,000.00","$72,600.00"
EL PARAISO DE ARMERIA,0602000473,"PARAISO, EL (BALNEARIO)",ARMERÍA,Col,"$90,000.00","$57,060.00"
CAMARONES DE CUYUTLAN,0601002348,TECOMAN,TECOMÁN,Col,"$90,000.00","$77,952.00"
CAMARONES DE CUYUTLAN,0601002348,TECOMAN,TECOMÁN,Col,"$90,000.00","$77,952.00"
CAMARONES DE CUYUTLAN,0601002348,TECOMAN,TECOMÁN,Col,"$90,000.00","$77,952.00"
ROSALIO MEDRANO CHAVEZ,0601003262,MANZANILLO,MANZANILLO,Col,"$55,750.00","$33,450.00"
PARTICIPACION ESTATAL COSTA DE COLIMA,0601000607,MANZANILLO,MANZANILLO,Col,"$90,000.00","$80,290.00"
CIABOGA,0601001928,MANZANILLO,MANZANILLO,Col,"$90,000.00","$62,361.00"
ALEJANDRO SAVALA GARCIA,0601002256,"COLOMO, EL", MANZANILLO,Col,"$82,044.00","$49,226.00"
HECTOR GABRIEL GARCIA MACIAS,0601002868,MANZANILLO,MANZANILLO,Col,"$90,000.00","$57,060.00"
MARTIN MEDRANO CHAVEZ,0601003239,"COLOMO, EL",MANZANILLO,Col,"$30,498.00","$18,299.00"
LUIS LEPE GUTIERREZ,0601003031,MANZANILLO,MANZANILLO,Col,"$42,451.00","$25,470.00"
5 DE MAYO,0601002280,MANZANILLO,MANZANILLO,Col,"$90,000.00","$57,060.00"
VERONICA,0601002298,MANZANILLO,MANZANILLO,Col,"$90,000.00","$80,290.00"
LINDA VISTA,0708000120,ANTONIO LEON,OSTUACÁN,Chis,"$17,311.00","$8,655.00"
CORALES DEL PACIFICO,0706000874,PAREDON,TONALÁ,Chis,"$90,000.00","$47,550.00"
PESCADORES DE PAREDON,0706000098,PAREDON,TONALÁ,Chis,"$90,000.00","$47,550.00"
PROGRESISTAS DEL MAR,0702000118,EMILIANO ZAPATA,ARRIAGA,Chis,"$30,498.00","$15,249.00"
PESCADORES DE PAREDON,0706000098,PAREDON,TONALÁ,Chis,"$63,271.00","$31,635.00"
PESCADORES DE NUEVO RESPLANDOR,0707000550,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,SOCOLTENANGO,SOCOLTENANGO,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,SAN ISIDRO,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
PESCADORES DE NUEVO RESPLANDOR,0707000345,NUEVO RESPLANDOR,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
DR. MANUEL VELASCO SUAREZ,0707000170,DOCTOR MANUEL VELASCO SUAREZ,CHIAPA DE CORZO,Chis,"$15,750.00","$7,875.00"
DR. MANUEL VELASCO SUAREZ,0707000170,DOCTOR MANUEL VELASCO SUAREZ,CHIAPA DE CORZO,Chis,"$15,750.00","$7,875.00"
DR. MANUEL VELASCO SUAREZ,0707000170,DOCTOR MANUEL VELASCO SUAREZ,CHIAPA DE CORZO,Chis,"$15,750.00","$7,875.00"
DR. MANUEL VELASCO SUAREZ,0707000170,DOCTOR MANUEL VELASCO SUAREZ,CHIAPA DE CORZO,Chis,"$15,750.00","$7,875.00"
DR. MANUEL VELASCO SUAREZ,0707000170,DOCTOR MANUEL VELASCO SUAREZ,CHIAPA DE CORZO,Chis,"$27,993.00","$13,996.00"
BARRA DE MAPACHE,0703000604,CHOCOHUITAL (EMBARCADERO COSTA AZUL),PIJIJIAPAN,Chis,"$87,500.00","$43,750.00"
LOS PESQUEROS DE MANUEL AVILA CAMACHO,0707000022,MANUEL AVILA CAMACHO,VILLA CORZO,Chis,"$42,451.00","$21,226.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$30,498.00","$15,249.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$42,451.00","$21,225.00"
