NO. TÍTULO,RNP,NOMBRE,MATRÍCULA,MARCA DE MOTOR,TON. NETAS,MOTOR HP
12509899363-38,25144056,MARÍA,25033148137,YAMAHA,0.840,115.00
1260479930525,26039800,MOCHIS 1,26030137132,MERCURY,1.810,60.00
1260479930525,26039834,MOCHIS 4,26030140131,MERCURY,1.810,60.00
1260479930525,26039842,MOCHIS 5,26030141134,MERCURY,1.810,60.00
1020300250017,02019230,ALTHAID,0201268710-8,YAMAHA,0.840,60.00
1020300250017,02019248,DANIEL,0201268610-2,YAMAHA,0.840,75.00
1020300250017,02025344,SELENE II,0201314213-5,YAMAHA,0.840,60.00
107096175060,07047624,HERIBERTO I,0701038213-1,YAMAHA,0.350,5.00
107096175060,07047632,HERIBERTO II,0701038313-7,YAMAHA,0.350,5.00
107096175060,07047616,HERIBERTO III,0701038413-4,YAMAHA,0.350,5.00
107096175060,07047608,HERIBERTO IV,0701038513-6,YAMAHA,0.350,5.00
107096175060,07047582,HERIBERTO IX,0701039013-4,YAMAHA,0.350,5.00
107096175060,07047541,HERIBERTO V,0701038613-8,YAMAHA,0.350,5.00
107096175060,07047558,HERIBERTO VI,0701038713-2,YAMAHA,0.350,5.00
107096175060,07047566,HERIBERTO VII,0701038813-1,YAMAHA,0.350,5.00
107096175060,07047574,HERIBERTO VIII,0701038913-9,YAMAHA,0.350,5.00
107096175060,07047590,HERIBERTO X,0701039113-4,YAMAHA,0.350,5.00
107096175060,07047533,HERIBERTO XI,0701039213-9,YAMAHA,0.350,5.00
107096175060,07052103,HERIBERTO XII,0701039313-6,YAMAHA,0.350,5.00
107096175060,07052111,HERIBERTO XIII,0701039413-3,YAMAHA,0.350,5.00
107096175060,07052129,HERIBERTO XIV,0701039513-5,YAMAHA,0.350,5.00
107096175060,07052178,HERIBERTO XIX,0701040013-1,YAMAHA,0.350,5.00
107096175060,07053440,HERIBERTO XL,0701042113-6,YAMAHA,0.350,15.00
107096175060,07053457,HERIBERTO XLI,0701042213-7,YAMAHA,0.350,5.00
107096175060,07053465,HERIBERTO XLII,0701042313-1,YAMAHA,0.350,5.00
107096175060,07081386,HERIBERTO XLIII,0701042413-5,YAMAHA,0.350,15.00
107096175060,07081388,HERIBERTO XLIV,0701042513-9,YAMAHA,0.350,5.00
107096175060,07081391,HERIBERTO XLV,0701042613-5,YAMAHA,0.350,5.00
107096175060,07052137,HERIBERTO XV,0701039613-7,YAMAHA,0.350,5.00
107096175060,07052145,HERIBERTO XVI,0701039713-1,YAMAHA,0.350,5.00
107096175060,07052152,HERIBERTO XVII,0701039813-9,YAMAHA,0.350,5.00
107096175060,07052160,HERIBERTO XVIII,0701039913-9,YAMAHA,0.350,5.00
107096175060,07052186,HERIBERTO XX,0701040113-6,YAMAHA,0.350,5.00
107096175060,07052194,HERIBERTO XXI,0701040213-4,YAMAHA,0.350,5.00
107096175060,07052202,HERIBERTO XXII,0701040313-7,YAMAHA,0.350,5.00
107096175060,07052210,HERIBERTO XXIII,0701040413-6,YAMAHA,0.350,5.00
107096175060,07052228,HERIBERTO XXIV,0701040513-6,YAMAHA,0.350,5.00
107096175060,07052277,HERIBERTO XXIX,0701041013-6,YAMAHA,0.350,5.00
107096175060,07052236,HERIBERTO XXV,0701040613-3,YAMAHA,0.350,5.00
107096175060,07052244,HERIBERTO XXVI,0701040713-4,YAMAHA,0.350,5.00
107096175060,07052251,HERIBERTO XXVII,0701040813-7,YAMAHA,0.350,5.00
107096175060,07052269,HERIBERTO XXVIII,0701040913-6,YAMAHA,0.350,5.00
107096175060,07052285,HERIBERTO XXX,0701041113-1,YAMAHA,0.350,5.00
107096175060,07052293,HERIBERTO XXXI,0701041213-6,YAMAHA,0.350,5.00
107096175060,07052301,HERIBERTO XXXII,0701041313-6,YAMAHA,0.350,15.00
107096175060,07052319,HERIBERTO XXXIII,0701041413-0,YAMAHA,0.350,5.00
107096175060,07052327,HERIBERTO XXXIV,0701041513-5,YAMAHA,0.350,15.00
107096175060,07052376,HERIBERTO XXXIX,0701042013-4,YAMAHA,0.350,15.00
107096175060,07052335,HERIBERTO XXXV,0701041613-5,YAMAHA,0.350,5.00
107096175060,07052343,HERIBERTO XXXVI,0701041713-8,YAMAHA,0.350,5.00
107096175060,07052350,HERIBERTO XXXVII,0701041813-3,YAMAHA,0.350,5.00
107096175060,07052368,HERIBERTO XXXVIII,0701041913-2,YAMAHA,0.350,5.00
107096994096,07081395,HERIBERTO  XLVI,0701042713-4,YAMAHA,0.350,5.00
107096994096,07081405,HERIBERTO L,0701043113-6,YAMAHA,0.350,5.00
107096994096,07081408,HERIBERTO LI,0701043213-1,YAMAHA,0.350,5.00
107096994096,07081411,HERIBERTO LII,0701043313-3,YAMAHA,0.350,5.00
107096994096,07081412,HERIBERTO LIII,0701043413-5,YAMAHA,0.350,5.00
107096994096,07081416,HERIBERTO LIV,0701043513-3,YAMAHA,0.350,5.00
107096994096,07081426,HERIBERTO LIX,0701044013-6,YAMAHA,0.350,5.00
107096994096,07081417,HERIBERTO LV,0701043613-8,YAMAHA,0.350,5.00
107096994096,07081420,HERIBERTO LVI,0701043713-3,YAMAHA,0.350,5.00
107096994096,07081422,HERIBERTO LVII,0701043813-4,YAMAHA,0.350,5.00
107096994096,07081425,HERIBERTO LVIII,0701043913-3,YAMAHA,0.350,5.00
107096994096,07081428,HERIBERTO LX,0701044113-0,YAMAHA,0.350,5.00
107096994096,07081431,HERIBERTO LXI,0701044213-5,YAMAHA,0.350,5.00
107096994096,07081433,HERIBERTO LXII,0701044313-5,YAMAHA,0.350,5.00
107096994096,07081434,HERIBERTO LXIII,0701044413-9,YAMAHA,0.350,5.00
107096994096,07081437,HERIBERTO LXIV,0701044513-4,YAMAHA,0.350,5.00
107096994096,07081449,HERIBERTO LXIX,0701045013-6,YAMAHA,0.350,5.00
107096994096,07081440,HERIBERTO LXV,0701044613-4,YAMAHA,0.350,5.00
107096994096,07081442,HERIBERTO LXVI,0701044713-7,YAMAHA,0.350,5.00
107096994096,07081445,HERIBERTO LXVII,0701044813-2,YAMAHA,0.350,5.00
107096994096,07081446,HERIBERTO LXVIII,0701044913-1,YAMAHA,0.350,5.00
107096994096,07081453,HERIBERTO LXX,0701045113-5,YAMAHA,0.350,5.00
107096994096,07081455,HERIBERTO LXXI,0701045213-9,YAMAHA,0.350,5.00
107096994096,07081461,HERIBERTO LXXII,0701045313-3,YAMAHA,0.350,5.00
107096994096,07081464,HERIBERTO LXXIII,0701045413-4,YAMAHA,0.350,5.00
107096994096,07081468,HERIBERTO LXXIV,0701045513-2,YAMAHA,0.350,5.00
107096994096,07081485,HERIBERTO LXXIX,0701046013-3,YAMAHA,0.350,5.00
107096994096,07081471,HERIBERTO LXXV,0701045613-7,YAMAHA,0.350,5.00
107096994096,07081475,HERIBERTO LXXVI,0701045713-3,YAMAHA,0.350,5.00
107096994096,07081479,HERIBERTO LXXVII,0701045813-3,YAMAHA,0.350,5.00
107096994096,07081483,HERIBERTO LXXVIII,0701045913-2,YAMAHA,0.350,5.00
107096994096,07081488,HERIBERTO LXXX,0701046113-5,YAMAHA,0.350,5.00
107096994096,07081490,HERIBERTO LXXXI,0701046213-5,YAMAHA,0.350,5.00
107096994096,07081494,HERIBERTO LXXXII,0701046313-8,YAMAHA,0.350,5.00
107096994096,07081497,HERIBERTO LXXXIII,0701046413-4,YAMAHA,0.350,5.00
107096994096,07081501,HERIBERTO LXXXIV,0701046513-7,YAMAHA,0.350,5.00
107096994096,07081504,HERIBERTO LXXXV,0701046613-4,YAMAHA,0.350,5.00
107096994096,07081401,HERIBERTO XLIX,0701043013-7,YAMAHA,0.350,5.00
107096994096,07081398,HERIBERTO XLVII,0701042813-1,YAMAHA,0.350,5.00
107096994096,07081399,HERIBERTO XLVIII,0701042913-9,YAMAHA,0.350,5.00
120040993370,20032082,TIB. DE LAS BAHIAS DE SALIMARQUEZ,20031488138,YAMAHA,0.840,75.00
12502399331-31,25142514,LA OLA 3,25033031136,YAMAHA,0.840,75.00
125080993272,25136706,BETO V,2504154513-2,YAMAHA,0.840,48.00
125080993272,25136714,BETO VI,2504154613-7,JOHNSON,0.840,40.00
125080993272,25136722,BETO VII,2504154713-3,MARINER,0.840,48.00
12508083259,25136706,BETO V,2504154513-2,YAMAHA,0.840,48.00
12508083259,25136714,BETO VI,2504154613-7,JOHNSON,0.840,40.00
12508083259,25136722,BETO VII,2504154713-3,MARINER,0.840,48.00
12508016709,25136706,BETO V,2504154513-2,YAMAHA,0.840,48.00
12508016709,25136714,BETO VI,2504154613-7,JOHNSON,0.840,40.00
12508016709,25136722,BETO VII,2504154713-3,MARINER,0.840,48.00
125080167035,25112574,MAHI MAHI,25032797136,YAMAHA,2.450,115.00
125080167034,25112566,QUETZAL,25032798138,YAMAHA,0.840,115.00
120040994012,20026845,ANITA,2001214710-6,A REMO,0.350,0.00
120040994012,20026886,CAMILA,2001214810-6,A REMO,0.350,0.00
120040994012,20026860,EDWIN,2001214310-5,A REMO,0.350,0.00
120040994012,20026878,EL CHIQUILIQUE,2001214210-2,A REMO,0.350,0.00
120040994012,20026811,GLORIA,2001214910-5,A REMO,0.350,0.00
120040994012,20026787,MARY,2001214010-9,YAMAHA,0.840,60.00
120040994012,20026852,MAYTE,2001214110-8,A REMO,0.350,0.00
120040994012,20026803,PANCHITA,2001214410-7,A REMO,0.350,0.00
120040994012,20026795,PERLITA,2001214510-5,A REMO,0.350,0.00
120040994012,20026837,REYNITA,2001215010-2,A REMO,0.350,0.00
120040994012,20026779,TINTORERA,2001215210-8,YAMAHA,0.840,60.00
107062175059,07049448,# 11,0701028413-1,YAMAHA,0.350,5.00
107062175059,07049463,# 18,0701029113-1,YAMAHA,0.350,5.00
107062175059,07051717,# 19,0701029213-4,YAMAHA,0.350,5.00
107062175059,07051725,# 20,0701029313-9,YAMAHA,0.350,15.00
107062175059,07051733,# 21,0701029413-9,YAMAHA,0.350,5.00
107062175059,07051741,# 22,0701029513-8,YAMAHA,0.350,5.00
107062175059,07051758,# 23,0701029613-2,YAMAHA,0.350,5.00
107062175059,07051766,# 25,0701029813-3,YAMAHA,0.350,5.00
107062175059,07051774,# 26,0701029913-3,YAMAHA,0.350,5.00
107062175059,07051782,# 27,0701030013-8,YAMAHA,0.350,5.00
107062175059,07051790,# 28,0701030113-8,YAMAHA,0.350,8.00
107062175059,07051808,# 29,0701030213-4,YAMAHA,0.350,5.00
107062175059,07049430,# 3,0701027613-4,YAMAHA,0.350,15.00
107062175059,07051816,# 30,0701030313-1,YAMAHA,0.350,5.00
107062175059,07051824,# 31,0701030413-7,YAMAHA,0.350,5.00
107062175059,07051832,# 32,0701030513-0,YAMAHA,0.350,5.00
107062175059,07051857,# 38,0701031113-6,YAMAHA,0.350,5.00
107062175059,07051865,# 39,0701031213-1,YAMAHA,0.350,9.90
107062175059,07051873,# 40,0701031313-4,YAMAHA,0.350,5.00
107062994095,07048481,# 1,0701027413-4,YAMAHA,0.350,5.00
107062994095,07048549,# 10,0701028313-1,YAMAHA,0.350,10.00
107062994095,07048622,# 12,0701028513-9,YAMAHA,0.350,5.00
107062994095,07048598,# 13,0701028613-3,YAMAHA,0.350,8.00
107062994095,07048473,# 14,0701028713-8,YAMAHA,0.350,5.00
107062994095,07048515,# 15,0701028813-4,YAMAHA,0.350,5.00
107062994095,07048556,# 16,0701028913-3,YAMAHA,0.350,5.00
107062994095,07048507,# 2,0701027513-7,YAMAHA,0.350,5.00
107062994095,07048630,# 24,0701029713-7,YAMAHA,0.350,5.00
107062994095,07051840,# 33,0701030613-3,YAMAHA,0.350,5.00
107062994095,07048572,# 35,0701030813-5,YAMAHA,0.350,5.00
107062994095,07048614,# 36,0701030913-4,YAMAHA,0.350,5.00
107062994095,07048523,# 37,0701031013-8,YAMAHA,0.350,5.00
107062994095,07048499,# 4,0701027713-2,YAMAHA,0.350,8.00
107062994095,07048564,# 5,0701027813-8,YAMAHA,0.350,5.00
107062994095,07048580,# 6,0701027913-7,YAMAHA,0.350,5.00
107062994095,07048648,# 7,0701028013-8,YAMAHA,0.350,5.00
107062994095,07048531,# 8,0701028113-2,YAMAHA,0.350,5.00
107062994095,07048606,# 9,0701028213-5,YAMAHA,0.350,5.00
